"ACCESS POINT","STATUS","RADIO MAC ADDRESS","BAND","BANDWIDTH","CHANNEL","UTILIZATION (%)","POWER (dBm)","NOISE FLOOR (dBm)"
"Santa Cruz - Bloque1_Piso1 - Docentes - AP1 - SWArP23","Up","68:28:cf:6f:69:d0","5 GHz","80 MHz","116","9","24","-94"
"Santa Cruz - Bloque1_Piso1 - Docentes - AP1 - SWArP23","Up","68:28:cf:6f:69:c0","2.4 GHz","20 MHz","6","11","9","-98"
"Santa Cruz - Bloque de Aulas - Aula 201 - ArchivoCentral - SWArP8","Up","68:28:cf:6f:d6:a0","2.4 GHz","20 MHz","11","25","9","-98"
"Santa Cruz - Bloque de Aulas - Aula 201 - ArchivoCentral - SWArP8","Up","68:28:cf:6f:d6:b0","5 GHz","80 MHz","149","5","24","-94"
"Campus Central - Bloque de Aulas - Aula 208","Up","68:28:cf:6f:b3:a0","2.4 GHz","20 MHz","1","14","9","-98"
"Campus Central - Bloque de Aulas - Aula 208","Up","68:28:cf:6f:b3:b0","5 GHz","80 MHz","116","17","21","-95"
"Santa Cruz - Bloque de Aulas - Aula 211 - Lab Computacion - SWArP45","Up","68:28:cf:70:65:20","2.4 GHz","20 MHz","1","52","9","-95"
"Santa Cruz - Bloque de Aulas - Aula 211 - Lab Computacion - SWArP45","Up","68:28:cf:70:65:30","5 GHz","80 MHz","116","7","24","-93"
"Campus Central - Bloque de Aulas - Aula 206","Up","68:28:cf:6f:8a:20","2.4 GHz","20 MHz","11","12","9","-98"
"Campus Central - Bloque de Aulas - Aula 206","Up","68:28:cf:6f:8a:30","5 GHz","80 MHz","40","28","24","-97"
"Santa Cruz - Bloque1_Piso2 - AP1 - SWArP44","Down","68:28:cf:6f:3e:e0","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP1 - SWArP44","Down","68:28:cf:6f:3e:f0","5 GHz","-","-","-","-","-"
"Campus Central - Administrativo - Direccion Academica","Up","68:28:cf:71:21:00","2.4 GHz","20 MHz","1","28","9","-98"
"Campus Central - Administrativo - Direccion Academica","Up","68:28:cf:71:21:10","5 GHz","80 MHz","116","6","24","-96"
"Santa Cruz - Bloque de Aulas - Aula 205 - SWArP12","Up","68:28:cf:6f:df:00","2.4 GHz","20 MHz","6","33","9","-98"
"Santa Cruz - Bloque de Aulas - Aula 205 - SWArP12","Up","68:28:cf:6f:df:10","5 GHz","80 MHz","116","22","24","-95"
"Campus Central - Bloque de Aulas - Aula 106 - Lab Fisioterapia - SWArP11","Up","68:28:cf:71:22:60","2.4 GHz","20 MHz","6","10","9","-98"
"Campus Central - Bloque de Aulas - Aula 106 - Lab Fisioterapia - SWArP11","Up","68:28:cf:71:22:70","5 GHz","80 MHz","116","21","24","-95"
"Campus Central - Bloque de Aulas - AP2 - SwArP11Piso4","Up","68:28:cf:6f:34:40","2.4 GHz","20 MHz","6","22","9","-97"
"Campus Central - Bloque de Aulas - AP2 - SwArP11Piso4","Up","68:28:cf:6f:34:50","5 GHz","80 MHz","149","21","24","-93"
"Campus Central - Bloque de Aulas - Aula 308","Up","68:28:cf:6f:75:80","2.4 GHz","20 MHz","6","22","9","-98"
"Campus Central - Bloque de Aulas - Aula 308","Up","68:28:cf:6f:75:90","5 GHz","80 MHz","44","15","24","-97"
"Campus Central - Bloque de Aulas - Aula 105 - Lab Computacion","Up","68:28:cf:6f:dc:10","5 GHz","80 MHz","157","40","24","-94"
"Campus Central - Bloque de Aulas - Aula 105 - Lab Computacion","Up","68:28:cf:6f:dc:00","2.4 GHz","20 MHz","6","27","9","-98"
"Santa Cruz - Bloque1_Piso1_Escalera - AP2 -SWArP30","Down","68:28:cf:70:16:a0","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso1_Escalera - AP2 -SWArP30","Down","68:28:cf:70:16:b0","5 GHz","-","-","-","-","-"
"Santa Cruz - Bloque de Aulas - Aula 206 - SWArP17","Up","68:28:cf:6f:d0:80","2.4 GHz","20 MHz","1","69","9","-98"
"Santa Cruz - Bloque de Aulas - Aula 206 - SWArP17","Up","68:28:cf:6f:d0:90","5 GHz","80 MHz","36","13","24","-96"
"Campus Central - Bloque de Aulas - Aula 210","Up","68:28:cf:6f:bc:e0","2.4 GHz","20 MHz","6","27","9","-98"
"Campus Central - Bloque de Aulas - Aula 210","Up","68:28:cf:6f:bc:f0","5 GHz","80 MHz","116","21","21","-95"
"Campus Central - Bloque de Aulas - Aula 202","Up","68:28:cf:6f:7a:40","2.4 GHz","20 MHz","1","67","9","-98"
"Campus Central - Bloque de Aulas - Aula 202","Up","68:28:cf:6f:7a:50","5 GHz","80 MHz","149","34","24","-94"
"Campus Central - Bloque de Aulas - Adquisiciones","Up","68:28:cf:70:ab:80","2.4 GHz","20 MHz","6","21","9","-96"
"Campus Central - Bloque de Aulas - Adquisiciones","Up","68:28:cf:70:ab:90","5 GHz","80 MHz","100","12","24","-93"
"Santa Cruz - Bloque de Aulas - Aula 209 - SWArP32","Up","68:28:cf:70:91:50","5 GHz","80 MHz","149","15","24","-95"
"Santa Cruz - Bloque de Aulas - Aula 209 - SWArP32","Up","68:28:cf:70:91:40","2.4 GHz","20 MHz","1","40","9","-96"
"Campus Central - Bloque de Aulas - Aula 306","Up","68:28:cf:6f:53:20","2.4 GHz","20 MHz","1","38","9","-98"
"Campus Central - Bloque de Aulas - Aula 306","Up","68:28:cf:6f:53:30","5 GHz","80 MHz","157","14","24","-94"
"Santa Cruz - Bloque2_PisoX - Laboratorio - AP4 - SwArP2","Up","68:28:cf:70:76:a0","2.4 GHz","20 MHz","1","8","9","-98"
"Santa Cruz - Bloque2_PisoX - Laboratorio - AP4 - SwArP2","Up","68:28:cf:70:76:b0","5 GHz","80 MHz","52","4","24","-96"
"Tachina - Hall Principal","Up","68:28:cf:6f:38:00","2.4 GHz","20 MHz","11","27","9","-98"
"Tachina - Hall Principal","Up","68:28:cf:6f:38:10","5 GHz","80 MHz","128","7","18","-95"
"Tachina - TI","Up","68:28:cf:71:1b:10","5 GHz","80 MHz","116","2","18","-98"
"Tachina - TI","Up","68:28:cf:71:1b:00","2.4 GHz","20 MHz","1","23","9","-98"
"Campus Central - Administrativo - Prorectorado","Up","68:28:cf:70:ac:70","5 GHz","80 MHz","52","3","24","-98"
"Campus Central - Administrativo - Prorectorado","Up","68:28:cf:70:ac:60","2.4 GHz","20 MHz","11","21","9","-98"
