"DEVICE NAME","STATUS","CLIENTS","ALERTS","IP ADDRESS","MODEL","SERIAL","MAC","VIRTUAL CONTROLLER","GROUP","LABELS","SITE","FIRMWARE VERSION","UPTIME","LAST SEEN","PUBLIC IP","LLDP NEIGHBOR","LLDP PORT","ZONE","NOTE"
"Santa Cruz - Bloque1_Piso2 - AP5 - SwArP39","Offline","-","0","10.10.60.35","AP-515","PHR4KD50VY","68:28:cf:ce:f1:48","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-18 12:38:25 (-05)","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/39","-",""
"68:28:cf:cf:12:5e","Offline","-","0","10.10.60.93","AP-515","PHR4KD50W8","68:28:cf:cf:12:5e","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-05-12 10:27:01 (-05)","190.15.139.161","SC-Bloque1Piso1-Escalera","1/1/13","-",""
"Santa Cruz - Bloque1_Piso1 - Docentes - AP2 - SWArP26","Online","14","0","10.10.60.44","AP-515","PHR4KD50WB","68:28:cf:ce:fe:bc","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","3 Days 17 Hours 40 Minutes","-","190.15.139.161","SC-Bloque1Piso1-Docentes","1/1/26","-",""
"Santa Cruz - Bloque1_Piso2 - AP7 - SwArP5","Offline","-","0","10.10.60.55","AP-515","PHR4KD50WC","68:28:cf:cf:02:64","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-18 12:38:25 (-05)","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/4","-",""
"Santa Cruz - Bloque2_Piso2 - Laboratorio - Tecnicas_Basicas","Online","0","0","10.10.60.41","AP-515","PHR4KD50WF","68:28:cf:cf:0f:72","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","34 Days 3 Hours 35 Minutes","-","190.15.139.161","SC-Bloque2Piso1-Laboratorio","1/1/22","-",""
"Santa Cruz - Bloque1_Piso1_Escalera - AP1 -SWArP18","Offline","-","0","10.10.60.50","AP-515","PHR4KD50WG","68:28:cf:cf:06:48","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-22 17:29:28 (-05)","190.15.139.161","PRCC-DataCenter-SWL3vsfPRINCIPAL","1/1/35","-",""
"Santa Cruz - Bloque1_Piso2 - AP4 - SwArP16","Offline","-","0","10.10.60.33","AP-515","PHR4KD50WJ","68:28:cf:cf:08:6a","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-18 12:38:25 (-05)","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/16","-",""
"68:28:cf:ce:f5:44","Online","0","0","10.10.60.221","AP-515","PHR4KD50WL","68:28:cf:ce:f5:44","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P3-DisSW48Poe","1/1/14","-",""
"Campus Central - Bloque de Aulas - NAF","Online","0","0","10.10.60.10","AP-515","PHR4KD50WS","68:28:cf:cf:06:d0","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-BloqueAulas-P3-DisSW48Poe","1/1/34","-",""
"Campus Central - Bloque de Aulas - Aula 103","Online","4","0","10.10.60.46","AP-515","PHR4KD50WT","68:28:cf:ce:f5:1a","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 41 Minutes","-","190.15.139.161","CC-BloqueAulas-P1-DisSW48Poe","1/1/17","-",""
"Santa Cruz - Bloque2_PisoX - Laboratorio - AP1 - SwArP33","Online","0","0","10.10.60.39","AP-515","PHR4LBN1NR","68:28:cf:cf:27:74","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","120 Days 19 Hours 47 Minutes","-","190.15.139.161","SC-Bloque2Piso1-Laboratorio","1/1/31","-",""
"Santa Cruz - Bloque2_PisoX - Laboratorio - Materno_Infantil - SwArP7","Online","10","0","10.10.60.42","AP-515","PHR4LBN1SC","68:28:cf:cf:36:d8","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","120 Days 19 Hours 47 Minutes","-","190.15.139.161","SC-Bloque2Piso1-Laboratorio","1/1/7","-",""
"Santa Cruz - Bloque de Aulas - Aula 207 - SWArP22","Online","15","0","10.10.60.28","AP-515","PHR4LBN1SV","68:28:cf:cf:2a:0e","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","1 Days 18 Hours 39 Minutes","-","190.15.139.161","SC-Bloque2Piso3-AulasArchivo","1/1/38","-",""
"Santa Cruz - Bloque1_Piso2 - AP6 - SwArP34","Online","9","0","10.10.60.32","AP-515","PHR4LBN1SW","68:28:cf:cf:3a:9e","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","3 Days 17 Hours 40 Minutes","-","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/34","-",""
